datetime,market,price,rsi,ma20,ma60,vwap,vol_pct,vol_ratio,drop_pct
2026-03-31 01:51:09,KRW-ESP,122.0,100.0,,,,0.0,1.0,
2026-03-31 01:51:24,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:51:39,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:51:54,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:52:09,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:52:24,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:52:39,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:52:54,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:53:09,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:53:24,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:53:39,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:53:54,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:54:09,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:54:24,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:54:39,KRW-ESP,122.0,100.0,122.0,,,0.0,1.0,0.0
2026-03-31 01:54:54,KRW-ESP,122.0,100.0,122.0,122.0,,0.0,1.0,0.0
2026-03-31 01:55:09,KRW-ESP,122.0,100.0,122.0,122.0,,0.0,1.0,0.0
2026-03-31 01:55:24,KRW-ESP,122.0,100.0,122.0,122.0,,0.0,1.0,0.0
2026-03-31 01:55:39,KRW-ESP,122.0,100.0,122.0,122.0,,0.0,1.0,0.0
2026-03-31 01:55:54,KRW-ESP,122.0,100.0,122.0,122.0,,0.0,1.0,0.0
2026-03-31 01:56:09,KRW-ESP,122.0,100.0,122.0,122.0,,0.0,1.0,0.0
2026-03-31 01:56:24,KRW-ESP,122.0,100.0,122.0,122.0,,0.0,1.0,0.0
2026-03-31 01:56:39,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
2026-03-31 01:56:54,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
2026-03-31 01:57:09,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
2026-03-31 01:57:24,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
2026-03-31 01:57:39,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
2026-03-31 01:57:54,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
2026-03-31 01:58:09,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
2026-03-31 01:58:24,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
2026-03-31 01:58:40,KRW-ESP,122.0,100.0,122.0,122.0,122.0,0.0,1.0,0.0
